unique_sentences,associated_user_input
"Was wondering if you and Natalie connected? Please give me a call. Michael said his day was rotten. Public order will be maintained firmly and energetically. The letters of credit were to cover three agreements. Can you supplement the answer to the visa question? It wasn't an easy day to play. Juppe met with the president at the Oval office. We would have waited up all night to see them. He said he had been surprised to see his name on the list. Okay I'll go for a ticket. Valerie, I should have Greeley on Monday for August. I will be back Friday. I will handle this afternoon. Hope that all is well in Denver.","Was wondering if you and Natalie connected? Please give me a call. Michael said his day was rotten. Public order will be maintained firmly and energetically. The letters of credit were to cover three agreements. Can you supplement the answer to the visa question? It wasn't an easy day to play. Juppe met with the president at the Oval office. We would have waited up all night to see them. He said he had been surprised to see his name on the list. Okay I'll go for a ticket. Valerie, I should have Greeley on Monday for August. I will be back Friday. I will handle this afternoon. Hope that all is well in Denver."
"There will be some better news later today The mud was their idea. What do you show as the storage schedule? We've pursued other options and as a result we've made some progress. I want to remind you about our All-Employee Meeting this Tuesday, Oct. The charges also cover his relations with advertising companies. These are big storms and traffic isn't moving. his will be hard. This method can be used on individual folders as well. I have 2 different ones. Have you done any deals yet? There are some different rules here. Once state owned, Telecom is now half owned by two American companies. This is a golden moment. My only opportunity is if he cracks or something else happens.","There will be some better news later today The mud was their idea. What do you show as the storage schedule? We've pursued other options and as a result we've made some progress. I want to remind you about our All-Employee Meeting this Tuesday, Oct. The charges also cover his relations with advertising companies. These are big storms and traffic isn't moving/ his will be hard. This method can be used on individual folders as well/ I have 2 different ones. Have you done any deals yet? there are some different rules here. Once state owned, Telecom is now half owned by two American companies. This is a golden moment. My only opportunity is if he cracks or something else happens."
But the pact has not entirely calmed the nation's nerves. We probably have to discuss trade behavior and margin. We've pursued other options and as a result we've made some progress. We will be bringing in lunch and I need to know how many to order? Please let me know if you need any additional information. Man I don't want to get sick again. We'll tell you who has the edge. I haven't really done any studying for it. Remember blackberry doesn't work so well at home. I'm on a conference call. He is listed as questionable for this week's game. I called my husband at work today just to tell him I loved him. That s all I have to say. We're here to qualify in the second or third row. You know that I love you.,But the pact has not entirely calmed the nation's nerves.  We probably have to discuss trade behavior and margin/  We've pursued othter options and as a result we've made some progress.  We will be bringing in lunch and I need to know how many to order? Please let me know if you need any additional information.  Man I don't want to get sick again.  We'll tell you who has the edge.  I haven't realy done any studying for it.  Remember blackberry doesn't work so well at home.  I'm on a conference call. He is listed as questionable for this week's game.  I called my husband at work today just to tell him I loved him. That s all I have to say.  We're here to qualify in the second or third row.  You know that I love you. 
"He was playing only his third event on the European Tour. Monitor his progress over the next few weeks. What information, if any, do we owe him? We cleaned him up as well as we could. I don't have Lost Creek yet - hopefully before you leave. I think Citation should be good now. ITT owns the Sheraton hotel chain. Travis is in charge. Your friend's defense, however, has other plans. He is close to full speed, says the Charlotte Observer. I just tracked down Steve. He disputed reports that Wheatley would be out four weeks. Wonder what next week will bring. We currently have 6 employees. And if he's not, then he doesn't play.","He was playing only his third event on the European Tour. Monitor his progress over the next few weeks. What information, if any, do we owe him? We cleaned him up as well as we could. I don't have Lost Creek yet - hopefully before you leave. I think Citation should be good now. ITT owns the Sheraton hotel chain. Travis is in charge. Your friend's defense, however, has other plans. He is close to full speed, says the Charlotte Observer. I just tracked down Steve. He disputed reports that Wheatley would be out four weeks. Wonder what next week will bring. We currently have 6 employees. And if he's not, then he doesn't play."
"Do you have it yet?. It's quite a weekend. Using Stoerner in your starting lineup would be a risky move. Until he can practice for a couple of weeks, we won't have him. Jacksonville's secondary is thin because of injuries. Ernie Els was back to his best. The UN still recognizes Lisbon as the administrator of the territory. Probably need to check with HR group providing services. Our advantages have been brought into fuller play. I would love to help you guys with this imbalance. His abilities will be limited if he does play Sunday. They have to go away and have a think. Thank you for all your help. They lost to Nantes after extra-time. I got the impression that this is a message for internal use.","Do you have it yet?. It's quite a weekend. Using Stoerner in your starting lineup would be a risky move. Until he can practice for a couple of weeks, we won't have him. Jacksonville's secondary is thin because of injuries. Ernie Els was back to his best. The UN still recognizes Lisbon as the administrator of the territroy. Probably need to check with HT group providing services. Our advantages have been brought into fuller play. I would love to help you guys with this imbalance. His abilities will be limited if he does play Sunday. They have to go away and have a think. Thank you for all your help. They lost to Nantes after extra-time. I got the impression that this is a message for internal use."
"Normally we just eat and run. I haven't really done any studying for it. I think in this case specific is better. Be back tomorrow and maybe we can visit. The Portal User IDs and Passwords are created by you. But he is expected to play against the Raiders on Sunday night. Good luck this week, I can't see any sure things out there. Penske doesn't let things sit back and relax. It's really just technicalities. Ava, do we need to worry about this? I don't want to let my nanny go home if you think you need me. We are about to leave Heaven! But we should pay them the 4500. We will be managing our rates and we need to plan on software. Eastwood dominated proceedings with his humour.","Normally we just eat an drun. I haven't really done any studying for it. I think in this case specific is better. Be back tomorrow and maybe we can visit. The Portal User IDs and Passwords are created by you. But he is expected to play against the Raiders on Sunday night. Good luck this week, I can't see any sure things out there. Penske doesn't let things sit b ack and relaxj. It;s really just technicalities. Ava, do we need to worry about thsi? I odn't want to let my nanny go home if you think you need me. We are about ot leave Heaven! But we should pay then the 4500. We will be managing our rates and we need to plan on software. Eastwood dominated proceedings wiht his humour."
"He played goalie almost the entire game. Why do you ask? He left the Jets  win over Miami in the second half on October. Next time ask Jim to call me. These factors dictate clear limits to the concept of safe areas. Presumably so do you. Have I mentioned how much I love Houston traffic? Clinton has pressed for a multilateral lifting of the embargo. If you need John speak up now. Do not send small, unsuspecting children to check on my progress. The Philippines censorship board voted to cut certain scenes. The charges also cover his relations with advertising companies. Some had witnessed the fighting which erupted a week ago. Mike is putting pressure on me. Following are my comments.","He played goalie almost the entire game Why do you ask? he left the Jets win over Miami in the second Half on october' Next time ask Jim to call me These factors dictate clear limits to the concept of safe areas Prsumably so do you Have I mentioned How much I love Houston traffic Clinton has pressed for a multilateral lifting of the embargo If you need John speak up now Do not send small, unsuspecting children to check on my progress The phillipines censorship board voted to cut certain scenes The charges  also cover his relations with advertising companies some had wtnessed the fighting which erupted  a week ago Mike is putting pressure on me Following are my comments."
"We must be consistent. Do we need to do anything here? A letter is being sent today. Trow said the profit return was very high. Zack Crockett may be used in goal-line situations. It's really just technicalities. Isn't that about the way it could happen? Foreigners have now fled the country since fighting erupted. Jan, sorry for the inconvenience. I will review them on Monday. Confirmed with Mark Taylor. Was wondering if you and Natalie connected? We would have waited up all night to see them. The former minister is accused of receiving seven billion lira. Rothenberg said the trend in Europe was away from fencing.","We must be consistent. Do we need to do anything here? A letter is being sent today. Trow said the profit return was very high. Zack Crockett may be used in goal-line situations. It's really just technicalities. Isn't that about the way it could happen? Foreiegners have now fled the country since fighting erupted. Jan, sorry for the inconvenience. I will review them on Monday. Confirmed with Mark Taylor. Was wondering if you and Natalie connected? We would have waited up all night to see them. The former minister is accused of receiving seven billion lira. Rothenberg said the trend in Europe was away from fencing."
"The new radio minister was head of the propaganda department. Zack Crockett may be used in goal-line situations. Taiwan is to cut tariffs on items. We have been consistent and we have a good balance. Isn't that about the way it could happen? I'll give it to you tomorrow. I'll send you a check. I'll get busy now and hopefully email you later today. Need anything from Target? Was it a car wreck? Mr. Rao, go to Washington but go with dignity. I appreciate you moving so quickly on this. The appointments were confirmed by China's parliament. I'm going to class. It stands to reason that I will eventually win.","The new radio minister was head of the propaganda department. Zack Crockett may be used in goal-line situations. Taiwan is to cut tariffs on items. We have been consistent and we have a good balance. Isn't that about the way it could happen? I'll give it to you tomorrow. I'll send you a check. I'll get busy now and hopefully email you later today. Need anything from Target? Was it a car wreck? Mr. Rao, go to Washington but go with dignity. I appreciate you moving so quickly on this. The appointments were confirmed by China's parliament. I'm going to class. It stands to reason that I will eventually win."
"Robert ,I'm working on this right now. This is the crew. I can return earlier. I'll take them one at a time. Mr. Rao, go to Washington but go with dignity. I hope we'll get the game here in Denver. I would be glad to participate. As soon as we are done - we'll give you a call. Don't bother picking him up. Our politicians are rising to the occasion. Keep him in mind as a No. Sounds good to me. I would love to help you guys with this imbalance. I need to link them up to the Tagg deal. Thanks for sending this.","Robert, I'm working on this right now. This is the crew. I can return earlier. I'll take them one at a time. Mr. Rao, go to Washington but go with dignity. I hope we'll get the game here in Denver. I would be glad to participate. As soon as we are done - we'll give you a call. Don't bother picking him up. Our politicians are rising to the occaision. Keep him in mind as a No. Sounds good to me. I would love to help you guys with this inbalance. I need to link them up to the Tagg deal. Thanks for sending this."
